Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
8,Jujube seeds,GR/MCM-41,309.0,0.44,0.12,1.0,298.0,37.23,53.49,9.27,1.549,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,MWCNT/MCM-41,158.0,0.58,0.06,1.0,298.0,37.14,50.84,12.01,0.395,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
9,Pine,Pine,2330.0,1.39,0.85,2.0,298.0,50.2,43.5,0.1,11.95454545,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Cedar,Cedar,2155.0,1.27,1.07,2.0,298.0,50.2,43.1,0.3,11.81818182,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Lignin,Lignin,2360.0,1.36,1.18,2.0,298.0,63.1,29.2,0.22,10.75,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Peat,Peat,2640.0,1.9,1.46,2.0,298.0,64.8,26.9,1.82,12.06818182,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Yallown,Yallown,2430.0,1.41,1.12,2.0,298.0,64.9,29.1,0.63,11.0,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Aduun chuluun,Aduun chuluun,2070.0,1.28,0.98,2.0,298.0,66.5,25.4,0.66,10.93181818,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Tugrug nuur,Tugrug nuur,1860.0,0.87,0.76,2.0,298.0,67.7,24.6,1.06,9.295454545,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Loy Yang,Loy Yang,2070.0,1.28,0.98,2.0,298.0,69.6,24.4,0.59,10.52272727,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Shivee-ovoo,Shivee-ovoo,1810.0,0.98,0.85,2.0,298.0,69.6,23.3,0.78,9.136363636,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Line,Line,1840.0,1.49,1.15,2.0,298.0,69.2,25.3,0.78,10.93181818,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Baganuur,Baganuur,2020.0,1.01,0.86,2.0,298.0,70.1,23.4,0.96,10.68181818,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
